alert,cdi,code,detail,dmin,felt,gap,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
,,70629097,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70629097&format=geojson,0.0421,,94.0,",hv70629097,",1.32,md,,hv,47.0,"12km S of Volcano, Hawaii",0.09,27,",hv,",reviewed,1538567941830,"M 1.3 - 12km S of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600.0,1538689399860,https://earthquake.usgs.gov/earthquakes/eventpage/hv70629097
,,20270200,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270200&format=geojson,,,,",ak20270200,",1.6,ml,,ak,,"168km NNW of Kobuk, Alaska",0.44,39,",ak,",reviewed,1538567817361,"M 1.6 - 168km NNW of Kobuk, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219838839,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270200
,,1000h67z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000h67z&format=geojson,2.702,,79.0,",us1000h67z,",4.6,mb,,us,,"43km SSE of Nggongi, Indonesia",0.92,326,",us,",reviewed,1538567638690,"M 4.6 - 43km SSE of Nggongi, Indonesia",0,earthquake,",geoserve,origin,phase-data,",480.0,1538569027040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000h67z
,,37377994,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377994&format=geojson,0.02782,,57.0,",ci37377994,",0.49,ml,,ci,21.0,"8km NE of Aguanga, CA",0.15,4,",ci,",reviewed,1538567561820,"M 0.5 - 8km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538573435771,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377994
,,20270198,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270198&format=geojson,,,,",ak20270198,",1.2,ml,,ak,,"42km NNE of Nikiski, Alaska",0.54,22,",ak,",reviewed,1538567383926,"M 1.2 - 42km NNE of Nikiski, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219838267,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270198
,,2018276006,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2018276006&format=geojson,0.4445,,263.0,",pr2018276006,",2.78,md,,pr,14.0,"40km N of Dorado, Puerto Rico",0.19,119,",pr,",reviewed,1538567159360,"M 2.8 - 40km N of Dorado, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240.0,1538569015385,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018276006
,,73092991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092991&format=geojson,0.006131,,72.0,",nc73092991,",0.88,md,,nc,12.0,"6km NW of The Geysers, CA",0.02,12,",nc,",automatic,1538567085310,"M 0.9 - 6km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538569623891,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092991
,,73092986,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092986&format=geojson,0.005333,,100.0,",nc73092986,",0.57,md,,nc,7.0,"9km NW of The Geysers, CA",0.01,5,",nc,",automatic,1538566791690,"M 0.6 - 9km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538576042487,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092986
,,73092976,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092976&format=geojson,0.007019,,227.0,",nc73092976,",0.74,md,,nc,6.0,"9km NW of The Geysers, CA",0.02,8,",nc,",automatic,1538566723160,"M 0.7 - 9km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538572623167,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092976
,,00659419,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00659419&format=geojson,0.128,,156.69,",nn00659419,",1.0,ml,,nn,16.0,"27km WSW of Truckee, California",0.1751,15,",nn,",reviewed,1538566702771,"M 1.0 - 27km WSW of Truckee, California",0,earthquake,",geoserve,origin,phase-data,",-480.0,1538618677911,https://earthquake.usgs.gov/earthquakes/eventpage/nn00659419
,,37377970,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377970&format=geojson,0.01291,,45.0,",ci37377970,",0.29,ml,,ci,17.0,"11km NE of Aguanga, CA",0.13,1,",ci,",reviewed,1538566592440,"M 0.3 - 11km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538573432976,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377970
,,37377962,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377962&format=geojson,0.02979,,120.0,",ci37377962,",0.24,ml,,ci,11.0,"8km ENE of Aguanga, CA",0.1,1,",ci,",reviewed,1538566418760,"M 0.2 - 8km ENE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538573450341,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377962
,,20270195,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270195&format=geojson,,,,",ak20270195,",1.6,ml,,ak,,"122km NW of Arctic Village, Alaska",0.46,39,",ak,",reviewed,1538566283103,"M 1.6 - 122km NW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219837720,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270195
,,37377954,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377954&format=geojson,0.00718,,38.0,",ci37377954,",0.44,ml,,ci,20.0,"10km NE of Aguanga, CA",0.16,3,",ci,",reviewed,1538566004630,"M 0.4 - 10km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538573466847,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377954
,,00659416,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00659416&format=geojson,0.036,,121.19,",nn00659416,",-0.4,ml,,nn,8.0,"44km E of Beatty, Nevada",0.1498,0,",nn,",reviewed,1538565864376,"M -0.4 - 44km E of Beatty, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480.0,1538618672209,https://earthquake.usgs.gov/earthquakes/eventpage/nn00659416
,,73092971,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092971&format=geojson,0.05849,,232.0,",nc73092971,",0.62,md,,nc,22.0,"14km WSW of Toms Place, CA",0.06,6,",nc,",reviewed,1538565832740,"M 0.6 - 14km WSW of Toms Place, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538592602104,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092971
,,37377946,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377946&format=geojson,0.01938,,31.0,",ci37377946,",0.97,ml,,ci,46.0,"8km NE of Aguanga, CA",0.13,14,",ci,",reviewed,1538565458710,"M 1.0 - 8km NE of Aguanga, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1538584680650,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377946
,,37377938,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377938&format=geojson,0.01487,,40.0,",ci37377938,",0.56,ml,,ci,23.0,"9km NE of Aguanga, CA",0.15,5,",ci,",reviewed,1538564744890,"M 0.6 - 9km NE of Aguanga, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1538573581230,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377938
,,20270193,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270193&format=geojson,,,,",ak20270193,",1.5,ml,,ak,,"166km S of Kotzebue, Alaska",0.54,35,",ak,",reviewed,1538564702133,"M 1.5 - 166km S of Kotzebue, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219837188,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270193
,,20270190,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270190&format=geojson,,,,",ak20270190,",1.3,ml,,ak,,"31km WSW of Kobuk, Alaska",0.47,26,",ak,",reviewed,1538564510240,"M 1.3 - 31km WSW of Kobuk, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219836621,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270190
,,37377930,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377930&format=geojson,0.08452,,100.0,",ci37377930,",1.02,ml,,ci,34.0,"9km NNE of Borrego Springs, CA",0.21,16,",ci,",reviewed,1538564299000,"M 1.0 - 9km NNE of Borrego Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538573500979,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377930
,,20270188,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270188&format=geojson,,,,",ak20270188,",1.3,ml,,ak,,"51km ENE of Cantwell, Alaska",0.81,26,",ak,",reviewed,1538564099612,"M 1.3 - 51km ENE of Cantwell, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219836025,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270188
,,37377922,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377922&format=geojson,0.09309,,28.0,",ci37377922,",1.94,ml,,ci,61.0,"10km NE of Ocotillo Wells, CA",0.22,58,",ci,",reviewed,1538563083660,"M 1.9 - 10km NE of Ocotillo Wells, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538586986654,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377922
,,37377914,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377914&format=geojson,0.09465,,27.0,",ci37377914,",2.34,ml,,ci,79.0,"10km NE of Ocotillo Wells, CA",0.26,84,",ci,",reviewed,1538563040200,"M 2.3 - 10km NE of Ocotillo Wells, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1538585228730,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377914
,,37377906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377906&format=geojson,0.094,,27.0,",ci37377906,",1.78,ml,,ci,67.0,"10km NE of Ocotillo Wells, CA",0.22,49,",ci,",reviewed,1538562959980,"M 1.8 - 10km NE of Ocotillo Wells, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480.0,1538583239561,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377906
,,73092961,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092961&format=geojson,0.004242,,126.0,",nc73092961,",1.15,md,,nc,10.0,"6km WNW of Cobb, CA",0.02,20,",nc,",automatic,1538562680900,"M 1.2 - 6km WNW of Cobb, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538568363760,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092961
,,37377898,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377898&format=geojson,0.01832,,31.0,",ci37377898,",0.76,ml,,ci,39.0,"9km NE of Aguanga, CA",0.16,9,",ci,",reviewed,1538562382740,"M 0.8 - 9km NE of Aguanga, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,",-480.0,1538582607230,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377898
,,00659461,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00659461&format=geojson,0.34,,186.53,",nn00659461,",0.8,ml,,nn,8.0,"28km ENE of Bridgeport, California",0.0931,10,",nn,",reviewed,1538561761206,"M 0.8 - 28km ENE of Bridgeport, California",0,earthquake,",geoserve,origin,phase-data,",-480.0,1538618704640,https://earthquake.usgs.gov/earthquakes/eventpage/nn00659461
,,20270186,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270186&format=geojson,,,,",ak20270186,",2.2,ml,,ak,,"105km NW of Arctic Village, Alaska",0.87,74,",ak,",reviewed,1538561689800,"M 2.2 - 105km NW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219835429,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270186
,,61434186,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61434186&format=geojson,0.006638,,135.0,",uw61434186,",0.31,ml,,uw,7.0,"38km NNE of Amboy, Washington",0.08,1,",uw,",reviewed,1538561636440,"M 0.3 - 38km NNE of Amboy, Washington",0,earthquake,",geoserve,origin,phase-data,",-480.0,1538588847790,https://earthquake.usgs.gov/earthquakes/eventpage/uw61434186
,,70628872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70628872&format=geojson,0.006512,,40.0,",hv70628872,",1.75,ml,,hv,21.0,"5km SW of Volcano, Hawaii",0.15,47,",hv,",automatic,1538561036050,"M 1.8 - 5km SW of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600.0,1538561377830,https://earthquake.usgs.gov/earthquakes/eventpage/hv70628872
,,1000h66t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000h66t&format=geojson,2.71,,79.0,",us1000h66t,",5.0,mww,,us,,"38km S of Nggongi Satu, Indonesia",1.04,385,",us,",reviewed,1538560686080,"M 5.0 - 38km S of Nggongi Satu, Indonesia",1,earthquake,",geoserve,origin,phase-data,",480.0,1538561863040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000h66t
,2.0,37377890,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37377890&format=geojson,0.03043,1.0,71.0,",ci37377890,",1.18,ml,,ci,22.0,"13km NE of Little Lake, CA",0.1,22,",ci,",reviewed,1538560617210,"M 1.2 - 13km NE of Little Lake, CA",0,earthquake,",dyfi,geoserve,nearby-cities,origin,phase-data,",-480.0,1538581845862,https://earthquake.usgs.gov/earthquakes/eventpage/ci37377890
,,61434181,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61434181&format=geojson,0.02085,,108.0,",uw61434181,",0.67,ml,,uw,10.0,"28km NNW of Packwood, Washington",0.08,7,",uw,",reviewed,1538559503220,"M 0.7 - 28km NNW of Packwood, Washington",0,earthquake,",geoserve,origin,phase-data,",-480.0,1538588174570,https://earthquake.usgs.gov/earthquakes/eventpage/uw61434181
,,20270182,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270182&format=geojson,,,,",ak20270182,",2.6,ml,,ak,,"120km NW of Talkeetna, Alaska",0.93,104,",ak,",reviewed,1538559488456,"M 2.6 - 120km NW of Talkeetna, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219834683,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270182
,,70628842,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70628842&format=geojson,0.004374,,59.0,",hv70628842,",1.85,ml,,hv,27.0,"4km WSW of Volcano, Hawaii",0.08,53,",hv,",reviewed,1538559377350,"M 1.9 - 4km WSW of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600.0,1538687146580,https://earthquake.usgs.gov/earthquakes/eventpage/hv70628842
,,70628837,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70628837&format=geojson,0.01458,,164.0,",hv70628837,",0.62,md,,hv,17.0,"5km W of Volcano, Hawaii",0.12,6,",hv,",reviewed,1538559339820,"M 0.6 - 5km W of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600.0,1538616230820,https://earthquake.usgs.gov/earthquakes/eventpage/hv70628837
,,61434176,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61434176&format=geojson,0.1558,,175.0,",uw61434176,",0.82,ml,,uw,7.0,"16km SSE of Buckley, Washington",0.08,10,",uw,",reviewed,1538559095420,"M 0.8 - 16km SSE of Buckley, Washington",0,earthquake,",geoserve,origin,phase-data,",-480.0,1538682821860,https://earthquake.usgs.gov/earthquakes/eventpage/uw61434176
,,20270180,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270180&format=geojson,,,,",ak20270180,",1.6,ml,,ak,,"115km NNW of Arctic Village, Alaska",0.86,39,",ak,",reviewed,1538558958918,"M 1.6 - 115km NNW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219834118,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270180
,,1000h66f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000h66f&format=geojson,0.312,,114.0,",us1000h66f,",2.9,mb_lg,,us,,"19km N of Taloga, Oklahoma",0.25,129,",us,",reviewed,1538558884880,"M 2.9 - 19km N of Taloga, Oklahoma",0,earthquake,",geoserve,origin,phase-data,",-360.0,1538559797040,https://earthquake.usgs.gov/earthquakes/eventpage/us1000h66f
,,20270179,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270179&format=geojson,,,,",ak20270179,",1.0,ml,,ak,,"11km NNW of Tanaina, Alaska",0.3,15,",ak,",reviewed,1538558821889,"M 1.0 - 11km NNW of Tanaina, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219833568,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270179
,,73092946,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092946&format=geojson,0.006818,,73.0,",nc73092946,",0.57,md,,nc,10.0,"9km NW of The Geysers, CA",0.05,5,",nc,",automatic,1538558755460,"M 0.6 - 9km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538559662934,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092946
,,20270175,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270175&format=geojson,,,,",ak20270175,",2.6,ml,,ak,,"103km NW of Arctic Village, Alaska",0.54,104,",ak,",reviewed,1538558574044,"M 2.6 - 103km NW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219832914,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270175
,,20270171,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270171&format=geojson,,,,",ak20270171,",2.1,ml,,ak,,"41km S of Redoubt Volcano, Alaska",0.42,68,",ak,",reviewed,1538558164302,"M 2.1 - 41km S of Redoubt Volcano, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219832261,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270171
,,2018276005,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2018276005&format=geojson,0.0814,,284.0,",pr2018276005,",1.4,md,,pr,3.0,"2km WSW of Boqueron, Puerto Rico",0.34,30,",pr,",reviewed,1538558155600,"M 1.4 - 2km WSW of Boqueron, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240.0,1538566163160,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018276005
,,60299117,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60299117&format=geojson,0.08193,,87.0,",uu60299117,",1.31,ml,,uu,13.0,"13km NNE of Old Faithful Geyser, Wyoming",0.19,26,",uu,",reviewed,1538558129440,"M 1.3 - 13km NNE of Old Faithful Geyser, Wyoming",0,earthquake,",geoserve,origin,phase-data,",-420.0,1538579928250,https://earthquake.usgs.gov/earthquakes/eventpage/uu60299117
,,20270129,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270129&format=geojson,,,,",ak20270129,",1.8,ml,,ak,,"120km NNW of Arctic Village, Alaska",0.8,50,",ak,",reviewed,1538558079783,"M 1.8 - 120km NNW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219831705,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270129
,,60299122,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60299122&format=geojson,0.08853,,148.0,",uu60299122,",0.8,md,,uu,5.0,"12km NNE of Old Faithful Geyser, Wyoming",0.12,10,",uu,",reviewed,1538558069590,"M 0.8 - 12km NNE of Old Faithful Geyser, Wyoming",0,earthquake,",geoserve,origin,phase-data,",-420.0,1538585969400,https://earthquake.usgs.gov/earthquakes/eventpage/uu60299122
,,20270126,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20270126&format=geojson,,,,",ak20270126,",2.5,ml,,ak,,"102km NW of Arctic Village, Alaska",0.55,96,",ak,",reviewed,1538557769953,"M 2.5 - 102km NW of Arctic Village, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219831045,https://earthquake.usgs.gov/earthquakes/eventpage/ak20270126
,,73092931,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092931&format=geojson,0.005899,,105.0,",nc73092931,",0.57,md,,nc,7.0,"9km NW of The Geysers, CA",0.01,5,",nc,",automatic,1538557390650,"M 0.6 - 9km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538564943447,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092931
,,70805694,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av70805694&format=geojson,0.01304,,228.0,",av70805694,",-0.07,ml,,av,5.0,"100km ESE of King Salmon, Alaska",0.06,0,",av,",reviewed,1538557361760,"M -0.1 - 100km ESE of King Salmon, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1538596993940,https://earthquake.usgs.gov/earthquakes/eventpage/av70805694
,,80312369,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80312369&format=geojson,0.437,,140.0,",mb80312369,",0.65,md,,mb,13.0,"29km SW of Anaconda, Montana",0.15,6,",mb,",reviewed,1538557361080,"M 0.7 - 29km SW of Anaconda, Montana",0,earthquake,",geoserve,origin,phase-data,",-420.0,1538689860790,https://earthquake.usgs.gov/earthquakes/eventpage/mb80312369
,,20276386,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20276386&format=geojson,,,,",ak20276386,",1.0,ml,,ak,,"62km SSW of Cantwell, Alaska",0.4,15,",ak,",reviewed,1538556330433,"M 1.0 - 62km SSW of Cantwell, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219830500,https://earthquake.usgs.gov/earthquakes/eventpage/ak20276386
,,73092926,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73092926&format=geojson,0.03172,,178.0,",nc73092926,",0.87,md,,nc,9.0,"7km ENE of Pinnacles, CA",0.02,12,",nc,",reviewed,1538556246920,"M 0.9 - 7km ENE of Pinnacles, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480.0,1538592783125,https://earthquake.usgs.gov/earthquakes/eventpage/nc73092926
,,20276385,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak20276385&format=geojson,,,,",ak20276385,",1.9,ml,,ak,,"77km SSW of Kaktovik, Alaska",0.37,56,",ak,",reviewed,1538555992947,"M 1.9 - 77km SSW of Kaktovik, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540.0,1539219829953,https://earthquake.usgs.gov/earthquakes/eventpage/ak20276385
